gene id	miRNA
5733	hsa-miR-376a-5p
5733	hsa-miR-27a-3p
5733	hsa-miR-23b-3p
127255	hsa-miR-302a-3p
127255	hsa-miR-520f-3p
4438	hsa-miR-27a-3p
204962	hsa-miR-193b-3p
81849	hsa-miR-30e-3p
81849	hsa-miR-374a-5p
81849	hsa-miR-27a-3p
81849	hsa-miR-137
81849	hsa-miR-139-5p
26289	hsa-miR-27a-3p
26289	hsa-miR-497-5p
26009	hsa-miR-520f-3p
54810	hsa-miR-30e-3p
54810	hsa-miR-139-5p
91624	hsa-miR-520f-3p
91624	hsa-miR-137
91624	hsa-miR-139-5p
64123	hsa-miR-27a-3p
64123	hsa-miR-137
23266	hsa-miR-376a-5p
23266	hsa-miR-137
148418	hsa-miR-137
5567	hsa-miR-137
79739	hsa-miR-137
79739	hsa-miR-23b-3p
23566	hsa-miR-30e-3p
23566	hsa-miR-139-5p
23566	hsa-miR-23b-3p
148423	hsa-miR-10a-5p
148423	hsa-miR-10b-5p
148423	hsa-miR-23b-3p
126820	hsa-miR-27a-3p
255231	hsa-miR-30b-5p
255231	hsa-miR-27a-3p
255231	hsa-miR-137
9635	hsa-miR-374a-5p
9635	hsa-miR-27a-3p
9635	hsa-miR-23b-3p
23507	hsa-miR-100-5p
23507	hsa-miR-206
2633	hsa-miR-17-3p
2633	hsa-miR-100-5p
2633	hsa-miR-30e-3p
2633	hsa-let-7d-5p
2633	hsa-miR-139-5p
2633	hsa-miR-23b-3p
5586	hsa-miR-520f-3p
115361	hsa-miR-30e-3p
115361	hsa-miR-376a-5p
115361	hsa-miR-139-5p
115361	hsa-miR-122-5p
164045	hsa-miR-27a-3p
343099	hsa-miR-21-5p
126969	hsa-miR-374a-5p
24	hsa-miR-137
58155	hsa-miR-21-5p
58155	hsa-miR-199a-5p
1806	hsa-miR-27a-3p
1806	hsa-miR-137
1806	hsa-miR-23b-3p
51375	hsa-miR-23b-3p
9890	hsa-let-7d-5p
9890	hsa-miR-30b-5p
8556	hsa-miR-376a-5p
8556	hsa-miR-374a-5p
7412	hsa-miR-100-5p
118427	hsa-miR-27a-3p
1301	hsa-miR-30a-3p
1301	hsa-miR-30d-5p
1301	hsa-miR-455-5p
10451	hsa-miR-30a-3p
10451	hsa-miR-30d-5p
10451	hsa-miR-374a-5p
57535	hsa-miR-31-5p
57535	hsa-miR-374a-5p
6814	hsa-miR-302a-3p
6814	hsa-miR-520f-3p
6814	hsa-miR-374a-5p
343263	hsa-miR-497-5p
29899	hsa-miR-137
2944	hsa-miR-302a-3p
2944	hsa-miR-372-3p
2944	hsa-miR-520c-3p
3749	hsa-miR-155-5p
128338	hsa-miR-374a-5p
140	hsa-miR-17-3p
140	hsa-miR-27a-3p
54879	hsa-miR-374a-5p
3752	hsa-miR-17-3p
3752	hsa-miR-137
3752	hsa-miR-497-5p
55917	hsa-miR-520f-3p
260425	hsa-miR-23b-3p
9860	hsa-miR-374a-5p
51592	hsa-miR-374a-5p
163259	hsa-miR-374a-5p
163259	hsa-miR-27a-3p
440603	hsa-miR-155-5p
440603	hsa-miR-374a-5p
845	hsa-miR-27a-3p
845	hsa-miR-23b-3p
6847	hsa-miR-27a-3p
10100	hsa-miR-139-5p
476	hsa-miR-10a-5p
914	hsa-miR-27a-3p
3321	hsa-miR-98-5p
3321	hsa-miR-193b-3p
3321	hsa-miR-376a-5p
55356	hsa-miR-100-5p
10905	hsa-miR-520f-3p
10905	hsa-miR-374a-5p
79679	hsa-miR-138-5p
79679	hsa-miR-374a-5p
79679	hsa-miR-23b-3p
200162	hsa-miR-100-5p
200162	hsa-miR-139-5p
51179	hsa-miR-27a-3p
10352	hsa-miR-137
9659	hsa-miR-17-3p
9659	hsa-miR-138-5p
9659	hsa-miR-30b-5p
9659	hsa-miR-374a-5p
9659	hsa-miR-27a-3p
128077	hsa-miR-520f-3p
128077	hsa-miR-137
388677	hsa-miR-373-3p
388677	hsa-miR-302a-3p
388677	hsa-miR-520f-3p
388677	hsa-miR-199a-5p
9554	hsa-miR-520f-3p
2330	hsa-miR-30e-3p
2330	hsa-miR-376a-5p
2330	hsa-miR-374a-5p
2330	hsa-miR-27a-3p
2330	hsa-miR-139-5p
2330	hsa-miR-23b-3p
607	hsa-miR-30b-5p
51463	hsa-miR-374a-5p
2029	hsa-miR-23b-3p
1520	hsa-miR-30e-3p
1520	hsa-miR-376a-5p
1520	hsa-miR-139-5p
1520	hsa-miR-497-5p
1520	hsa-miR-23b-3p
6097	hsa-miR-374a-5p
6097	hsa-miR-27a-3p
6097	hsa-miR-497-5p
91181	hsa-miR-374a-5p
3782	hsa-miR-30e-3p
3782	hsa-miR-27a-3p
3782	hsa-miR-139-5p
1944	hsa-miR-30b-5p
3570	hsa-miR-30e-3p
3570	hsa-miR-137
3570	hsa-miR-139-5p
4000	hsa-miR-10b-5p
4000	hsa-miR-199a-5p
