gene id	miRNA 
81556	hsa-miR-365a-3p
7994	hsa-miR-365a-3p
201627	hsa-miR-365a-3p
284058	hsa-miR-365a-3p
85457	hsa-miR-365a-3p
55904	hsa-miR-365a-3p
84365	hsa-miR-138-5p
92070	hsa-miR-138-5p
5524	hsa-miR-328-3p
23338	hsa-miR-328-3p
5315	hsa-miR-140-5p
23271	hsa-miR-140-5p
23350	hsa-miR-22-3p
140688	hsa-miR-22-3p
7994	hsa-miR-22-3p
51430	hsa-miR-22-3p
56267	hsa-miR-22-3p
647087	hsa-miR-22-3p
54994	hsa-miR-22-3p
56204	hsa-miR-132-3p
10472	hsa-miR-132-3p
57698	hsa-miR-212-3p
56204	hsa-miR-212-3p
10472	hsa-miR-212-3p
84451	hsa-miR-195-5p
9870	hsa-miR-195-5p
27351	hsa-miR-195-5p
143384	hsa-miR-195-5p
23277	hsa-miR-195-5p
137682	hsa-miR-195-5p
23350	hsa-miR-195-5p
746	hsa-miR-195-5p
79447	hsa-miR-195-5p
65124	hsa-miR-195-5p
27161	hsa-miR-195-5p
79036	hsa-miR-195-5p
51495	hsa-miR-195-5p
84305	hsa-miR-195-5p
148413	hsa-miR-195-5p
58527	hsa-miR-195-5p
152217	hsa-miR-195-5p
221710	hsa-miR-195-5p
64793	hsa-miR-195-5p
83460	hsa-miR-195-5p
9870	hsa-miR-497-5p
27351	hsa-miR-497-5p
143384	hsa-miR-497-5p
746	hsa-miR-497-5p
25843	hsa-miR-497-5p
27161	hsa-miR-497-5p
79036	hsa-miR-497-5p
51495	hsa-miR-497-5p
58527	hsa-miR-497-5p
152217	hsa-miR-497-5p
221710	hsa-miR-497-5p
8613	hsa-miR-324-5p
64207	hsa-miR-324-5p
8531	hsa-miR-324-5p
57589	hsa-miR-33b-5p
153222	hsa-miR-33b-5p
22990	hsa-miR-33b-5p
29094	hsa-miR-33b-5p
8085	hsa-miR-33b-5p
168455	hsa-miR-33b-5p
55714	hsa-miR-144-3p
50810	hsa-miR-144-3p
399815	hsa-miR-144-3p
9870	hsa-miR-193a-3p
153222	hsa-miR-193a-3p
4297	hsa-miR-193a-3p
55914	hsa-miR-193a-3p
9757	hsa-miR-152-3p
58489	hsa-miR-152-3p
4297	hsa-miR-152-3p
140688	hsa-miR-152-3p
192670	hsa-miR-152-3p
9711	hsa-miR-152-3p
51251	hsa-miR-152-3p
9414	hsa-miR-152-3p
5524	hsa-miR-152-3p
3137	hsa-miR-152-3p
79886	hsa-miR-152-3p
10472	hsa-miR-152-3p
29094	hsa-miR-10a-5p
2802	hsa-miR-10a-5p
6309	hsa-miR-142-3p
140688	hsa-miR-142-3p
25843	hsa-miR-142-3p
91748	hsa-miR-142-3p
29094	hsa-miR-142-3p
11143	hsa-miR-142-3p
647979	hsa-miR-142-3p
23731	hsa-miR-142-3p
51652	hsa-miR-142-3p
64145	hsa-miR-142-3p
55845	hsa-miR-454-3p
51527	hsa-miR-454-3p
9813	hsa-miR-454-3p
153222	hsa-miR-454-3p
51776	hsa-miR-454-3p
22990	hsa-miR-454-3p
64762	hsa-miR-454-3p
4297	hsa-miR-454-3p
192670	hsa-miR-454-3p
129285	hsa-miR-454-3p
285203	hsa-miR-454-3p
147947	hsa-miR-454-3p
55177	hsa-miR-454-3p
64207	hsa-miR-454-3p
2909	hsa-miR-454-3p
23271	hsa-miR-454-3p
6307	hsa-miR-454-3p
9766	hsa-miR-454-3p
26148	hsa-miR-454-3p
79018	hsa-miR-454-3p
58508	hsa-miR-454-3p
79960	hsa-miR-454-3p
753	hsa-miR-454-3p
49854	hsa-miR-454-3p
51652	hsa-miR-454-3p
64145	hsa-miR-454-3p
9813	hsa-miR-301a-3p
6309	hsa-miR-301a-3p
51776	hsa-miR-301a-3p
22990	hsa-miR-301a-3p
4297	hsa-miR-301a-3p
192670	hsa-miR-301a-3p
151963	hsa-miR-301a-3p
23254	hsa-miR-301a-3p
285203	hsa-miR-301a-3p
286097	hsa-miR-301a-3p
147947	hsa-miR-301a-3p
57724	hsa-miR-301a-3p
64207	hsa-miR-301a-3p
2909	hsa-miR-301a-3p
6307	hsa-miR-301a-3p
9766	hsa-miR-301a-3p
222166	hsa-miR-301a-3p
58508	hsa-miR-301a-3p
55914	hsa-miR-301a-3p
79960	hsa-miR-301a-3p
